Papua New Guinea,"Life expectancy at birth, total (years)",63.744,64.01
Comoros,"Life expectancy at birth, total (years)",63.7,63.912
IDA total,"Life expectancy at birth, total (years)",63.62848404,63.96471201
"Congo, Rep.","Life expectancy at birth, total (years)",63.556,63.954
South Africa,"Life expectancy at birth, total (years)",63.153,63.538
Ghana,"Life expectancy at birth, total (years)",63.124,63.463
Low income,"Life expectancy at birth, total (years)",62.98932635,63.39261016
Haiti,"Life expectancy at birth, total (years)",62.896,63.29
Fragile and conflict affected situations,"Life expectancy at birth, total (years)",62.81486122,63.15109546
Liberia,"Life expectancy at birth, total (years)",62.802,63.295
Malawi,"Life expectancy at birth, total (years)",62.681,63.279
Namibia,"Life expectancy at birth, total (years)",62.625,63.021
Zambia,"Life expectancy at birth, total (years)",62.464,63.043
Heavily indebted poor countries (HIPC),"Life expectancy at birth, total (years)",62.3232893,62.7486826
Uganda,"Life expectancy at birth, total (years)",61.986,62.516
IDA blend,"Life expectancy at birth, total (years)",61.6994536,61.99688464
"Gambia, The","Life expectancy at birth, total (years)",61.166,61.44
Niger,"Life expectancy at birth, total (years)",61.137,61.599
Benin,"Life expectancy at birth, total (years)",60.885,61.174
Burundi,"Life expectancy at birth, total (years)",60.528,60.898
Sub-Saharan Africa,"Life expectancy at birth, total (years)",60.44238734,60.88000237
Sub-Saharan Africa (IDA & IBRD countries),"Life expectancy at birth, total (years)",60.44238734,60.88000237
Sub-Saharan Africa (excluding high income),"Life expectancy at birth, total (years)",60.44110322,60.87877747
Burkina Faso,"Life expectancy at birth, total (years)",60.354,60.768
Zimbabwe,"Life expectancy at birth, total (years)",60.294,60.812
Togo,"Life expectancy at birth, total (years)",60.22,60.489
Guinea,"Life expectancy at birth, total (years)",60.17,60.706
Pre-demographic dividend,"Life expectancy at birth, total (years)",59.99193712,60.42746691
Angola,"Life expectancy at birth, total (years)",59.925,60.379
"Congo, Dem. Rep.","Life expectancy at birth, total (years)",59.655,60.026
Mozambique,"Life expectancy at birth, total (years)",58.309,59.309
Cameroon,"Life expectancy at birth, total (years)",58.063,58.511
Mali,"Life expectancy at birth, total (years)",57.987,58.452
Equatorial Guinea,"Life expectancy at birth, total (years)",57.713,58.061
Guinea-Bissau,"Life expectancy at birth, total (years)",57.328,57.673
