,Country,Year,CO2 Emmissions (Kilo Ton),Expenditure on defense,Expenditure on economic affairs,Expenditure on education,Expenditure on environment protection,Expenditure on general public services,Expenditure on health,Expenditure on housing & community amenities,Expenditure on public order & safety,"Expenditure on recreation, culture, & religion",Expenditure on social protection
64,Belarus,2006,62071.309,2.72122742849481,20.9922973383343,14.2933787917632,1.21252209169288,8.09213294681557,10.4007504271279,6.28147493324987,4.96542421842884,3.62239424044247,28.0828578288791
65,Belarus,2005,59167.045,2.42482104347737,19.6401414947874,14.2633959097108,1.23426727543602,10.7963659808016,10.3433494718632,5.94560352158953,4.72286595274479,3.3463019059526,27.7262193788257
66,Belarus,2004,58158.62,2.24361150959711,19.6664764932482,14.3527898943525,1.34809976000464,10.0491752394977,10.4916087311298,6.52401827182453,4.63716629755289,3.33321439501513,27.9228974465648
67,Belarus,2003,53530.866,2.25164676494124,19.1175220213884,13.9697123158727,1.05527865349153,10.5311471193367,10.4166385452332,7.04025153956435,4.22142491943845,3.08193053172539,28.4445375376474
68,Belgium,2014,93350.819,1.59721999388066,12.734192421148,11.4852866937804,1.82255993585992,15.4279673713549,14.5905578677581,0.705170299779857,3.33070150502315,2.33316777069379,35.9731761407213
69,Belgium,2013,96970.148,1.66596559486323,12.5922380858094,11.4320022701952,2.12178392814942,15.6419004307714,14.3190646211794,0.694152331193011,3.34256132401288,2.30354553757912,35.886785876247
70,Belgium,2012,95107.312,1.64960218789732,13.8564367817153,11.1515730128554,2.12603492547429,15.6939344387927,14.1461281991858,0.745118641908169,3.32067154856336,2.45261294733664,34.8578411503081
71,Belgium,2011,99944.085,1.72304543031635,13.641574432641,11.2962939673578,2.15881310988853,15.9194267543652,13.9688959874934,0.736775812547826,3.37087510508439,2.38949088365695,34.7948568869094
72,Belgium,2010,110824.074,1.81245605104833,12.6440973443918,11.2548353477726,1.89186593187701,16.1045909286796,14.3703120048118,0.814952890832987,3.44847423621923,2.41029020561817,35.2480736940131
73,Belgium,2009,99863.411,1.84647918676263,12.3576145602561,11.1435885476844,1.71350130910864,16.6666489998834,14.2842832762696,0.760343018263921,3.46436786482791,2.46048823922238,35.3026319973712
74,Belgium,2008,104443.494,2.10850583910351,12.048524517941,11.3162061954849,1.60517747705324,17.2533117848629,14.2472776886793,0.805314140509364,3.51773534267575,2.47140575672331,34.6264850631113
75,Belgium,2007,103545.079,2.09880613068676,11.5402754934953,11.4094948884876,1.43690226826748,18.01138886115,13.8651503976958,0.905779010855873,3.46472352595099,2.54276237031725,34.7247772097651
76,Belgium,2006,107072.733,2.06768830134536,11.3950085487373,11.5679427092386,1.48959771949397,17.6403588889486,13.6693203042782,0.861384042146381,3.57264530483122,2.65538633655794,35.0806678444225
77,Belgium,2005,108510.197,2.06383340041093,14.7886496005514,10.9774812125721,1.50635329508563,17.9871621575388,13.231910355308,0.795227144217652,3.22569608812192,2.48253442573391,32.9410901155829
